127.0.0.1 - - [17/Jul/2024:04:08:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:08:42 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:11:48 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:13:54 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:14:48 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:14:48 +0900] "GET /day01/your-map-image.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:24:22 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:32:40 +0900] "GET /day01/first-HTML.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:34:10 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 2780
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:35:23 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:36:36 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:38:42 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:38:42 +0900] "GET /day01/images/map.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:39:14 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:39:14 +0900] "GET /day01/map.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:39:44 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [17/Jul/2024:04:40:33 +0900] "GET /day01/first-HTML.html HTTP/1.1" 200 2050
