127.0.0.1 - - [24/Sep/2024:20:09:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:09:45 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:09:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:10:24 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:15:16 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:16:36 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:21:22 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:22:06 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:22:26 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:23:08 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:26:20 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:26:57 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:27:15 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:31:29 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:37:26 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:37:40 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:47:32 +0900] "GET /day04/img.html HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:47:33 +0900] "GET /day04/baby.png HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:59:55 +0900] "GET /day04/img.html HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:59:55 +0900] "GET /day04/child.png HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:59:55 +0900] "GET /day04/baby.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:03:54 +0900] "GET /day04/img.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:03:54 +0900] "GET /day04/studer.png HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:03:54 +0900] "GET /day04/baby.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:03:54 +0900] "GET /day04/child.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:03:54 +0900] "GET /day04/male.png; HTTP/1.1" 200 1714
